File Name,File Path,Last Modified,IsProd,Revision,Part Number
P0070-0096-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0096-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0096-00_RevA.x_t
A0070-0034-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\A0070-0034-00_RevA.x_t,0001-01-01 00:00:00,0,,A0070-0034-00_RevA.x_t
P0070-0093-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0093-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0093-00_RevA.x_t
P0070-0092-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0092-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0092-00_RevA.x_t
A0070-0033-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\A0070-0033-00_RevA.x_t,0001-01-01 00:00:00,0,,A0070-0033-00_RevA.x_t
P0070-0091-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0091-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0091-00_RevA.x_t
P0070-0090-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0090-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0090-00_RevA.x_t
P0070-0089-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0089-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0089-00_RevA.x_t
A0070-0032-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\A0070-0032-00_RevA.x_t,0001-01-01 00:00:00,0,,A0070-0032-00_RevA.x_t
P0070-0087-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0087-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0087-00_RevA.x_t
A0070-0031-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\A0070-0031-00_RevA.x_t,0001-01-01 00:00:00,0,,A0070-0031-00_RevA.x_t
P0070-0086-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0086-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0086-00_RevA.x_t
A0070-0030-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\A0070-0030-00_RevA.x_t,0001-01-01 00:00:00,0,,A0070-0030-00_RevA.x_t
A0070-0029-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\A0070-0029-00_RevA.x_t,0001-01-01 00:00:00,0,,A0070-0029-00_RevA.x_t
P0070-0085-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0085-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0085-00_RevA.x_t
P0070-0084-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0084-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0084-00_RevA.x_t
P0070-0083-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0083-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0083-00_RevA.x_t
A0070-0028-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\A0070-0028-00_RevA.x_t,0001-01-01 00:00:00,0,,A0070-0028-00_RevA.x_t
P0070-0080-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0080-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0080-00_RevA.x_t
P0070-0078-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0078-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0078-00_RevA.x_t
P0070-0077-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0077-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0077-00_RevA.x_t
A0070-0027-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\A0070-0027-00_RevA.x_t,2024-10-28 10:56:44,0,,A0070-0027-00_RevA.x_t
A0070-0026-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\A0070-0026-00_RevA.x_t,0001-01-01 00:00:00,0,,A0070-0026-00_RevA.x_t
P0070-0074-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0074-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0074-00_RevA.x_t
P0070-0071-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0071-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0071-00_RevA.x_t
P0070-0070-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0070-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0070-00_RevA.x_t
P0070-0069-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0069-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0069-00_RevA.x_t
A0070-0023-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\A0070-0023-00_RevA.x_t,0001-01-01 00:00:00,0,,A0070-0023-00_RevA.x_t
P0070-0065-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0065-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0065-00_RevA.x_t
P0070-0064-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0064-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0064-00_RevA.x_t
A0070-0022-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\A0070-0022-00_RevA.x_t,0001-01-01 00:00:00,0,,A0070-0022-00_RevA.x_t
A0070-0021-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\A0070-0021-00_RevA.x_t,0001-01-01 00:00:00,0,,A0070-0021-00_RevA.x_t
P0070-0063-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0063-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0063-00_RevA.x_t
A0070-0020-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\A0070-0020-00_RevA.x_t,0001-01-01 00:00:00,0,,A0070-0020-00_RevA.x_t
P0070-0060-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0060-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0060-00_RevA.x_t
P0070-0059-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0059-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0059-00_RevA.x_t
A0070-0018-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\A0070-0018-00_RevA.x_t,0001-01-01 00:00:00,0,,A0070-0018-00_RevA.x_t
P0070-0056-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0056-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0056-00_RevA.x_t
P0070-0055-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0055-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0055-00_RevA.x_t
P0070-0053-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0053-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0053-00_RevA.x_t
